id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49056761,"Professionally-cleaned 1BD, 2020 Tripadvisor traveler's choice awardee",364554341,Barsala Seattle,Downtown,Central Business District,47.61128,-122.33642,Entire home/apt,147,30,0,,,20,97,0,
49056763,"Professionally-cleaned 1BD, 2020 Tripadvisor traveler's choice awardee",364554341,Barsala Seattle,Downtown,Central Business District,47.61148,-122.33854,Entire home/apt,147,30,0,,,20,96,0,
49056803,"2BD, secluded, Tripadvisor traveler's choice awardee",364554341,Barsala Seattle,Downtown,Belltown,47.61261,-122.33864,Entire home/apt,157,30,0,,,20,96,0,
49056804,"Tripadvisor traveler's choice awardee 2BD, washer/dryer",364554341,Barsala Seattle,Downtown,Central Business District,47.61126,-122.33645,Entire home/apt,157,30,0,,,20,97,0,
49056805,"2BD, fast wifi, Tripadvisor traveler's choice awardee",364554341,Barsala Seattle,Downtown,Belltown,47.6126,-122.33854,Entire home/apt,157,30,0,,,20,67,0,
49056807,"Walkable, 2BD, Tripadvisor traveler's choice awardee",364554341,Barsala Seattle,Downtown,Belltown,47.6126,-122.33839,Entire home/apt,157,30,0,,,20,96,0,
49056811,"Professionally-cleaned 2BD, 2020 Tripadvisor traveler's choice awardee",364554341,Barsala Seattle,Downtown,Belltown,47.61329,-122.33781,Entire home/apt,157,30,0,,,20,96,0,
49056950,Cozy Central District Apartment,86369177,Kevin,Central Area,Leschi,47.60385,-122.29626,Entire home/apt,104,2,12,2021-09-20,2.59,1,302,12,STR-OPLI-21-000241
49057799,Lux studio with floor-to-ceiling tile in bathroom and kitchen,364554341,Barsala Seattle,Downtown,Central Business District,47.61077,-122.34002,Entire home/apt,207,30,0,,,20,0,0,
49057806,Embrace the spirit of Seattle in this modern studio,364554341,Barsala Seattle,Downtown,Belltown,47.61631,-122.3517,Entire home/apt,123,30,0,,,20,9,0,
49057807,"Get comfortable in this lux studio, chef-inspired kitchen",364554341,Barsala Seattle,Cascade,South Lake Union,47.61903,-122.34925,Entire home/apt,123,30,1,2021-08-14,0.70,20,61,1,
49057808,"Professionally-cleaned studio in Seattle, self check-in",364554341,Barsala Seattle,Downtown,Belltown,47.61606,-122.35236,Entire home/apt,140,30,0,,,20,9,0,
49057809,Wake up to the energy of the city in this stylish studio,364554341,Barsala Seattle,Cascade,South Lake Union,47.61889,-122.34943,Entire home/apt,140,30,0,,,20,1,0,
49060073,Seattle Urban Village- Unit B- Lago Vista- Lake Union- Sleeps 6,39834464,Vera,Cascade,Eastlake,47.64109,-122.32486,Entire home/apt,79,30,0,,,51,340,0,STR-OPLI-19-000278
49060079,Seattle Urban Village- B,39834464,Vera,Capitol Hill,Montlake,47.64044,-122.32273,Entire home/apt,70,30,0,,,51,340,0,
49060452,Lake Union 1 BR Suite,39834464,Vera,Cascade,Eastlake,47.64189,-122.32496,Entire home/apt,79,30,1,2021-06-18,0.30,51,354,1,STR-OPLI-19-000278
49060640,Eastlake Lago Vista Home,39834464,Vera,Cascade,Eastlake,47.64062,-122.32354,Entire home/apt,189,30,1,2021-07-03,0.35,51,365,1,str-opli-19-000401
49060701,Eastlake One Bedroom Getaway,39834464,Vera,Cascade,Eastlake,47.64259,-122.3233,Entire home/apt,100,30,0,,,51,354,0,STR-OPLI-19-000278
49079534,Cozy Guest Suite with Private Patio,68548903,Vivian,Lake City,Victory Heights,47.70856,-122.30912,Entire home/apt,128,1,35,2021-09-23,8.90,1,76,35,STR-OPLI-21-000258
49095975,"New! Stunning Water View, Walk to Pike Place Market, Space Needle, Downtown Restaurants and Shopping",377129678,Karen,Downtown,Pioneer Square,47.60205,-122.33327,Entire home/apt,302,2,8,2021-08-31,1.50,8,344,8,STR-OPLI-19-001963
49104486,Walk Everywhere! Charming Queen Anne Craftsman,140236800,TurnKey Vacation Rentals,Queen Anne,East Queen Anne,47.64163,-122.35448,Entire home/apt,122,2,6,2021-09-07,1.70,55,336,6,STR-OPLI-21-000047
